player,uid,level,rank,rank_div,rank_score,kills,damage,headshots,games_played,wins,kdr,damage_per_game
BL4CKTUL1P,2796634171,3.0,Unranked,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
somashou,2796552637,477.0,Gold,3,6500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HitEmWithTheHeim,2796553339,9.0,Unranked,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
luzongo755,2796500721,18.0,Unranked,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arda5h3r,2796601929,5.0,Unranked,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Yaqui619,2796535795,9.0,Unranked,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ali_ohanyan,2796587965,3.0,Unranked,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
RuinerGenesis,2796535724,455.0,Silver,4,3250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AltugAlakus,2796549049,3.0,Unranked,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ItZFrosTEdgE,2796612996,11.0,Unranked,0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
KexFlipper,2796555636,3.0,Unranked,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PUNISHER_X_8,2796574155,1.0,Unranked,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MountD,2796644252,104.0,Bronze,3,1835.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Hentz00r,2796607419,389.0,Silver,3,3602.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lklklmj,1008248038563,3.0,Unranked,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cms145,2796642543,346.0,Rookie,4,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0
Vigono498549848,1008248029942,1.0,Unranked,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JestrProject,2796517894,48.0,Unranked,0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Codrin2194,2796613732,6.0,Unranked,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FormyPlays,2796655282,6.0,Unranked,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pablillo7711,2796623434,17.0,Unranked,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IDiaLecTz-,2796554601,6.0,Unranked,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pioneer108,2796564964,20.0,Unranked,0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
ilikkq,2796568642,24.0,Rookie,3,309.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
